[INFO: 2024-12-15 21:37:26,656] Epoch 1/10, Step 1/15, Loss 0.9384824633598328, Acc 0.125, PN 0.125, AP 0.19444444444444442
[INFO: 2024-12-15 21:37:27,109] Epoch 1/10, Step 2/15, Loss 0.9506351947784424, Acc 0.1875, PN 0.1875, AP 0.1440850815850816
[INFO: 2024-12-15 21:37:27,558] Epoch 1/10, Step 3/15, Loss 0.8382046222686768, Acc 0.125, PN 0.125, AP 0.11212121212121212
[INFO: 2024-12-15 21:37:28,028] Epoch 1/10, Step 4/15, Loss 0.6981035470962524, Acc 0.5625, PN 0.125, AP 0.19444444444444442
[INFO: 2024-12-15 21:37:28,479] Epoch 1/10, Step 5/15, Loss 0.5459457039833069, Acc 0.875, PN 0.125, AP 0.16666666666666666
[INFO: 2024-12-15 21:37:28,927] Epoch 1/10, Step 6/15, Loss 0.41221076250076294, Acc 0.875, PN 0.125, AP 0.19642857142857142
[INFO: 2024-12-15 21:37:29,377] Epoch 1/10, Step 7/15, Loss 0.5922099947929382, Acc 0.75, PN 0.25, AP 0.36408730158730157
[INFO: 2024-12-15 21:37:29,822] Epoch 1/10, Step 8/15, Loss 0.39917290210723877, Acc 0.875, PN 0.125, AP 0.31666666666666665
[INFO: 2024-12-15 21:37:30,270] Epoch 1/10, Step 9/15, Loss 0.6330320835113525, Acc 0.8125, PN 0.1875, AP 0.13992673992673993
[INFO: 2024-12-15 21:37:30,718] Epoch 1/10, Step 10/15, Loss 0.8520338535308838, Acc 0.75, PN 0.25, AP 0.2424145299145299
[INFO: 2024-12-15 21:37:31,165] Epoch 1/10, Step 11/15, Loss 0.5190290212631226, Acc 0.8125, PN 0.1875, AP 0.4843304843304843
[INFO: 2024-12-15 21:37:31,612] Epoch 1/10, Step 12/15, Loss 0.7425715327262878, Acc 0.75, PN 0.25, AP 0.34375
[INFO: 2024-12-15 21:37:32,059] Epoch 1/10, Step 13/15, Loss 0.2144801914691925, Acc 0.9375, PN 0.0625, AP 0.5
[INFO: 2024-12-15 21:37:32,506] Epoch 1/10, Step 14/15, Loss 0.3290366232395172, Acc 0.875, PN 0.125, AP 1.0
[INFO: 2024-12-15 21:37:32,954] Epoch 1/10, Step 15/15, Loss 0.3710230588912964, Acc 0.875, PN 0.125, AP 0.3666666666666667
[INFO: 2024-12-15 21:37:33,244] *******Epoch 1, Val loss: 0.4434, Val Acc: 0.8197, Val AP: 0.5132
[INFO: 2024-12-15 21:39:37,595] Epoch 1/10, Step 1/15, Loss 0.9384824633598328, Acc 0.125, PN 0.125, AP 0.19444444444444442
[INFO: 2024-12-15 21:39:38,046] Epoch 1/10, Step 2/15, Loss 0.9506351947784424, Acc 0.1875, PN 0.1875, AP 0.1440850815850816
[INFO: 2024-12-15 21:39:38,497] Epoch 1/10, Step 3/15, Loss 0.8382046222686768, Acc 0.125, PN 0.125, AP 0.11212121212121212
